depth_m,vx_north_ms,vy_east_ms
0.4940,0.044499,0.063685
1.5414,0.040721,0.061214
2.6457,0.017880,0.040703
3.8195,0.008770,0.021863
5.0782,0.007864,0.006417
6.4406,0.008626,-0.005988
7.9296,0.009710,-0.016845
9.5730,0.011973,-0.028421
11.4050,0.016769,-0.040678
13.4671,0.019106,-0.049237
15.8101,0.003438,-0.052782
18.4956,-0.012108,-0.055072
21.5988,-0.014323,-0.059868
25.2114,-0.009405,-0.064487
29.4447,-0.004699,-0.065846
34.4342,-0.004279,-0.061591
40.3441,-0.009016,-0.051803
47.3737,-0.015181,-0.042487
55.7643,-0.018187,-0.038689
65.8073,-0.011651,-0.035415
77.8539,0.000167,-0.029647
92.3261,0.008648,-0.022731
109.7293,0.010109,-0.017009
130.6660,0.010337,-0.015769
155.8507,0.008674,-0.017122
186.1256,0.008871,-0.018286
222.4752,0.010619,-0.024210
266.0403,0.011378,-0.029688
318.1274,0.012885,-0.031429
380.2130,0.015794,-0.033441
453.9377,0.021840,-0.035494
541.0889,0.030978,-0.032488
643.5668,0.044382,-0.033040
763.3331,0.060057,-0.028767
902.3393,0.072364,-0.030422
