depth_m,vx_north_ms,vy_east_ms
0.4940,-0.237243,0.005335
1.5414,-0.235510,-0.000195
2.6457,-0.233466,-0.004987
3.8195,-0.231401,-0.008689
5.0782,-0.229413,-0.011403
6.4406,-0.227396,-0.013375
7.9296,-0.224577,-0.014986
9.5730,-0.208052,-0.014840
11.4050,-0.133490,0.002809
13.4671,-0.078693,-0.002338
15.8101,-0.058733,-0.011429
18.4956,-0.056108,-0.018492
21.5988,-0.056149,-0.022048
25.2114,-0.055056,-0.021992
29.4447,-0.051838,-0.019701
34.4342,-0.046884,-0.017501
40.3441,-0.042434,-0.017652
47.3737,-0.040525,-0.022623
55.7643,-0.035888,-0.033318
65.8073,-0.024772,-0.043636
